query-id	corpus-id	score
genQ1	43uwh	1
genQ2	43uwh	1
genQ3	43uwh	1
genQ4	43uwh	1
genQ5	43uwh	1
genQ6	43uwh	1
genQ7	43uwh	1
genQ8	43uwh	1
genQ9	43uwh	1
genQ10	43uwh	1
genQ11	43uwh	1
genQ12	43uwh	1
genQ13	43uwh	1
genQ14	43uwh	1
genQ15	43uwh	1
genQ16	43uwh	1
genQ17	43uwh	1
genQ18	43uwh	1
genQ19	43uwh	1
genQ20	43uwh	1
genQ21	43uwh	1
genQ22	43uwh	1
genQ23	43uwh	1
genQ24	43uwh	1
genQ25	43uwh	1
genQ26	43uwh	1
genQ27	43uwh	1
genQ28	43uwh	1
genQ29	43uwh	1
genQ30	43uwh	1
genQ31	43uwh	1
genQ32	43uwh	1
genQ33	43uwh	1
genQ34	43uwh	1
genQ35	43uwh	1
genQ36	43uwh	1
genQ37	43uwh	1
genQ38	43uwh	1
genQ39	43uwh	1
genQ40	43uwh	1
genQ41	43uwh	1
genQ42	43uwh	1
genQ43	43uwh	1
genQ44	43uwh	1
genQ45	43uwh	1
genQ46	43uwh	1
genQ47	43uwh	1
genQ48	43uwh	1
genQ49	43uwh	1
genQ50	43uwh	1
genQ51	43uwh	1
genQ52	43uwh	1
genQ53	43uwh	1
genQ54	43uwh	1
genQ55	43uwh	1
genQ56	43uwh	1
genQ57	43uwh	1
genQ58	43uwh	1
genQ59	43uwh	1
genQ60	43uwh	1
genQ61	43uwh	1
genQ62	43uwh	1
genQ63	43uwh	1
genQ64	43uwh	1
genQ65	43uwh	1
genQ66	43uwh	1
genQ67	43uwh	1
genQ68	43uwh	1
genQ69	43uwh	1
genQ70	43uwh	1
genQ71	43uwh	1
genQ72	43uwh	1
genQ73	43uwh	1
genQ74	43uwh	1
genQ75	43uwh	1
genQ76	43uwh	1
genQ77	43uwh	1
genQ78	43uwh	1
genQ79	43uwh	1
genQ80	43uwh	1
genQ81	43uwh	1
genQ82	43uwh	1
genQ83	43uwh	1
genQ84	43uwh	1
genQ85	43uwh	1
genQ86	43uwh	1
genQ87	43uwh	1
genQ88	43uwh	1
genQ89	43uwh	1
genQ90	43uwh	1
genQ91	43uwh	1
genQ92	43uwh	1
genQ93	43uwh	1
genQ94	43uwh	1
genQ95	43uwh	1
genQ96	43uwh	1
genQ97	43uwh	1
genQ98	43uwh	1
genQ99	43uwh	1
genQ100	43uwh	1
genQ101	43uwh	1
genQ102	43uwh	1
genQ103	43uwh	1
genQ104	43uwh	1
genQ105	43uwh	1
genQ106	43uwh	1
genQ107	43uwh	1
genQ108	43uwh	1
genQ109	43uwh	1
genQ110	43uwh	1
genQ111	43uwh	1
genQ112	43uwh	1
genQ113	43uwh	1
genQ114	43uwh	1
genQ115	43uwh	1
genQ116	43uwh	1
genQ117	43uwh	1
genQ118	43uwh	1
genQ119	43uwh	1
genQ120	43uwh	1
genQ121	43uwh	1
genQ122	43uwh	1
genQ123	43uwh	1
genQ124	43uwh	1
genQ125	43uwh	1
genQ126	43uwh	1
genQ127	43uwh	1
genQ128	43uwh	1
genQ129	43uwh	1
genQ130	43uwh	1
genQ131	43uwh	1
genQ132	43uwh	1
genQ133	43uwh	1
genQ134	43uwh	1
genQ135	43uwh	1
genQ136	43uwh	1
genQ137	43uwh	1
genQ138	43uwh	1
genQ139	43uwh	1
genQ140	43uwh	1
genQ141	43uwh	1
genQ142	43uwh	1
genQ143	43uwh	1
genQ144	43uwh	1
genQ145	43uwh	1
genQ146	43uwh	1
genQ147	43uwh	1
genQ148	43uwh	1
genQ149	43uwh	1
genQ150	43uwh	1
genQ151	43uwh	1
genQ152	43uwh	1
genQ153	43uwh	1
genQ154	43uwh	1
genQ155	43uwh	1
genQ156	43uwh	1
genQ157	43uwh	1
genQ158	43uwh	1
genQ159	43uwh	1
genQ160	43uwh	1
genQ161	43uwh	1
genQ162	43uwh	1
genQ163	43uwh	1
genQ164	43uwh	1
genQ165	43uwh	1
genQ166	43uwh	1
genQ167	43uwh	1
genQ168	43uwh	1
genQ169	43uwh	1
genQ170	43uwh	1
genQ171	43uwh	1
genQ172	43uwh	1
genQ173	43uwh	1
genQ174	43uwh	1
genQ175	43uwh	1
genQ176	43uwh	1
genQ177	43uwh	1
genQ178	43uwh	1
genQ179	43uwh	1
genQ180	43uwh	1
genQ181	43uwh	1
genQ182	43uwh	1
genQ183	43uwh	1
genQ184	43uwh	1
genQ185	43uwh	1
genQ186	43uwh	1
genQ187	43uwh	1
genQ188	43uwh	1
genQ189	43uwh	1
genQ190	43uwh	1
genQ191	43uwh	1
genQ192	43uwh	1
genQ193	43uwh	1
genQ194	43uwh	1
genQ195	43uwh	1
genQ196	43uwh	1
genQ197	43uwh	1
genQ198	43uwh	1
genQ199	43uwh	1
genQ200	43uwh	1
genQ201	43uwh	1
genQ202	43uwh	1
genQ203	43uwh	1
genQ204	43uwh	1
genQ205	43uwh	1
genQ206	43uwh	1
genQ207	43uwh	1
genQ208	43uwh	1
genQ209	43uwh	1
genQ210	43uwh	1
genQ211	43uwh	1
genQ212	43uwh	1
genQ213	43uwh	1
genQ214	43uwh	1
genQ215	43uwh	1
genQ216	43uwh	1
genQ217	43uwh	1
genQ218	43uwh	1
genQ219	43uwh	1
genQ220	43uwh	1
genQ221	43uwh	1
genQ222	43uwh	1
genQ223	43uwh	1
genQ224	43uwh	1
genQ225	43uwh	1
genQ226	43uwh	1
genQ227	43uwh	1
genQ228	43uwh	1
genQ229	43uwh	1
genQ230	43uwh	1
genQ231	43uwh	1
genQ232	43uwh	1
genQ233	43uwh	1
genQ234	43uwh	1
genQ235	43uwh	1
genQ236	43uwh	1
genQ237	43uwh	1
genQ238	43uwh	1
genQ239	43uwh	1
genQ240	43uwh	1
genQ241	43uwh	1
genQ242	43uwh	1
genQ243	43uwh	1
genQ244	43uwh	1
genQ245	43uwh	1
genQ246	43uwh	1
genQ247	43uwh	1
genQ248	43uwh	1
genQ249	43uwh	1
genQ250	43uwh	1
genQ251	43uwh	1
genQ252	43uwh	1
genQ253	43uwh	1
genQ254	43uwh	1
genQ255	43uwh	1
genQ256	43uwh	1
genQ257	43uwh	1
genQ258	43uwh	1
genQ259	43uwh	1
genQ260	43uwh	1
genQ261	43uwh	1
genQ262	43uwh	1
genQ263	43uwh	1
genQ264	43uwh	1
genQ265	43uwh	1
genQ266	43uwh	1
genQ267	43uwh	1
genQ268	43uwh	1
genQ269	43uwh	1
genQ270	43uwh	1
genQ271	43uwh	1
genQ272	43uwh	1
genQ273	43uwh	1
genQ274	43uwh	1
genQ275	43uwh	1
genQ276	43uwh	1
genQ277	43uwh	1
genQ278	43uwh	1
genQ279	43uwh	1
genQ280	43uwh	1
genQ281	43uwh	1
genQ282	43uwh	1
genQ283	43uwh	1
genQ284	43uwh	1
genQ285	43uwh	1
genQ286	43uwh	1
genQ287	43uwh	1
genQ288	43uwh	1
genQ289	43uwh	1
genQ290	43uwh	1
genQ291	43uwh	1
genQ292	43uwh	1
genQ293	43uwh	1
genQ294	43uwh	1
genQ295	43uwh	1
genQ296	43uwh	1
genQ297	43uwh	1
genQ298	43uwh	1
genQ299	43uwh	1
genQ300	43uwh	1
